"","Lost.stable","Gained.stable"
"1",0.000331145878462764,0.000455337513332115
"2",0.35955795656039,0.00960498970734922
"3",0.0680241703012009,2.67108196364241e-08
"4",0.332191090551219,2.20946632612263e-07
"5",0.877495316548999,0.000162334581923964
"6",0.221025314270966,4.04205529053446e-05
"7",0.379566036631969,5.30693295788557e-10
"8",3.6036179387744e-05,0.00740025357739462
"9",0.0357994274555808,0.0152423869808961
"10",0.0222687704763255,1.34366121584806e-06
"11",0.0060108033648137,0.0410986866060261
"12",0.104973640972863,3.39965441270391e-06
"13",0.000145806153865234,0.0993367257206511
"14",0.123845617594559,0.000765377917088276
"15",0.00184843628797695,0.000448315650919036
"16",0.0185372822893932,0.0504254422612509
"17",0.796898043857014,0.000176268645083232
"18",0.915968885011978,0.0215953475191278
"19",0.0127966552883689,0.00169838351204262
"20",0.0803920179252429,1.9162852655935e-05
"21",0.341991429137242,0.00895207074070101
"22",0.0257102454658652,2.49909589962223e-08
"23",0.0819764852869851,0.000137070664803146
"24",5.87094439076351e-07,8.78025651059087e-05
"25",2.07519525693012e-29,0.00187312242715387
"26",1.90272226194927e-16,NA
"27",4.54866354675753e-05,1.09908088141628e-17
"28",3.99238429792755e-08,3.77156187336939e-05
"29",0.00435452697361352,1.01325532233497e-11
"30",5.62876637310942e-10,0.00596399342071764
"31",NA,NA
"32",0.0829941742950392,1.37885433413798e-05
"33",0.242287302681575,0.00234350198011014
"34",NA,NA
"35",1.84960684938362e-05,0.171780900150576
"36",0.00827404668406922,3.63527646743298e-14
"37",6.14132582953184e-32,7.05062945181118e-15
"38",1.60422317689427e-27,4.09201005268006e-50
"39",1.09969448355314e-17,1.04315765947478e-26
"40",3.07064704467513e-20,1.35418988848851e-33
"41",3.14960030901156e-26,4.08264605240462e-06
"42",1.80644675655697e-18,0.143917094928674
"43",7.44930799605109e-100,1.92458050152178e-22
"44",9.60840900205657e-22,5.01212055867176e-10
"45",1.58639199860995e-09,7.99998136757855e-17
"46",1.05422707283766e-13,2.109537348783e-27
"47",1.2147026916055e-08,3.26702439636197e-13
"48",1.26093291682099e-05,0.000262023145084049
"49",0.094963965128562,1.98873188468372e-07
"50",0.000410843335512581,0.0426197310005948
"51",0.579907851851877,0.0360368850361982
"52",0.0144099421287984,0.0481207242054044
"53",0.0345152535908907,0.660825908986735
"54",0.012394600409029,0.00024239264591845
"55",0.850466569320055,8.69307040388038e-05
"56",0.183048235900567,0.00822292535187119
"57",0.179645765271145,0.000300686943527789
"58",0.619282325626281,0.00425606140382562
"59",0.238529234071391,0.00514501834837801
"60",0.564506314964169,3.16466112751077e-06
"61",0.353653788489474,4.21320809993717e-05
